stdnt_id,schl_id,sample,grade,gender,poverty,race,minority,disabili,foodsecu,ses,kfall_ma,ksprng_m,g1fall_m,g1sprng_,g3Math,kfall_re,ksprng_r,g1fall_r,g1sprn_1,g3Read,schl_typ,s2kminor,pcnt_flu,pcnt_rlu,filter_$,racenew,passmath1,int
20,0002,1,4,2,2,1,1,2, , ,20.14,30.45, ,48.9,74.13,21.74,32.37, ,61.33,96.16,4,1,46.2,8.77, ,1,0,1
29,0006,1,4,1,2,1,1,2, ,.83,29.51,37.27, ,81.61,93.36,32.74,41.8, ,61.26,101.43,4,1,7.46,7.22,1,1,0,1
88,0011,2,4,2,2,1,1,2, , ,32.69,34.1, ,58.9,92.99,41.36,62.93, ,107.4,136.35,4,1,17.21,10.39, ,1,0,1
95,0011,1,4,1,2,1,1,2, , ,15.14,27, ,43.59,73.11,25.2,28.22, ,55.56,90.99,4,1,17.21,10.39, ,1,0,1
152,0020,1,4,1,2,1,1,1, , ,17.96,23.22, ,35.3,53.96,25.01,29.01, ,40.58,60.02,4,1,-9,-9, ,1,0,1
165,0022,2,4,1,2,1,1,2, ,.15,16.52,21,34.79,42.91,86.37,23.82,40.34,46.05,61.99,125.25,4,1,16.29,7.17,1,1,0,1
172,0022,1,4,1,2,1,1,1, ,1.91,23.31,35.55,34.69,48.02,94.84,21.02,39.15,43.14,48.16,102.78,4,1,16.29,7.17,1,1,0,1
173,0023,1,4,1,2,1,1,1,4.8, ,14.83,24.54,26.86,42.91,94.52,16.9,28.2,40.11,56.28,124.48,4,1,29.5,10.76, ,1,0,1
218,0026,2,4,2,2,1,1,2, ,.68,24.8,40.23, ,54.08,98.48,39.87,40.62, ,54.07,124.78, , , , ,1,1,0,1
220,0026,1,4,2,2,1,1,1, ,1.14,29.03,34.05, ,80.67,101.57,36.34,42.81, ,101.76,139.21, , , , ,1,1,1,1
221,0026,1,4,2,2,1,1,2, , ,18.16,28.69, ,57.05,85.48,22.6,38.47, ,99.37,125.25, , , , , ,1,0,1
222,0026,1,4,1,2,1,1,1, , ,20.96,31.18, ,45.33,76.86,32.69,35.5, ,58,110.29, , , , , ,1,0,1
225,0028,2,4,1,2,1,1,2,1.4,.11,20.28,34.44,40.33,54.11,98.76,24.38,39.45,53.78,94.57,101.49,1,1,0,0,1,1,0,1
227,0028,1,4,1,2,1,1,2, , ,47.26,58.97,49.27,78.26,98.5,50.21,75.74,77.28,106.03,138.18,1,1,0,0, ,1,0,1
228,0028,1,4,2,2,1,1,2, ,1.21,25.45,32.19,38.84,78.21,79.19,37.76,46.18,55.33,83.45,129.56,1,1,0,0,1,1,0,1
258,0033,2,4,2,2,1,1,2, ,.14,20.08,22.69, ,46.2,92.43,24.05,25.16, ,59.43,123.42,4,1,3.75,2.04,1,1,0,1
289,0036,2,4,2,1,2,2,2, , ,11.97,19.44, ,37.49,66.92,20.89,26.71, ,46.87,76.74,4,3,23.43,5.45, ,2,0,1
317,0038,2,4,1,1,2,2, , , ,38.18,42, ,63.19,104.84,69.06,78.15, ,108.77,131.94, , , , , ,2,1,1
324,0038,2,4,2,2,1,1,1,1.4, ,31.48,37.49, ,57.01,91.77,23.16,38.56, ,66.34,104.13, , , , , ,1,0,1
329,0038,1,4,2,2,1,1,1, , , , , ,17.88,55.63, , , ,29.3,79.81, , , , , ,1,0,1
371,0041,1,4,2,2,1,1,2, ,1.77,43.93,67.59, ,89.48,115.12,65.03,81.94, ,115.31,140.57,2,1,0,0,1,1,1,1
444,0046,2,4,1,2,2,2,2, , ,19.68,24.92, ,45.5,49.12,24.06,28.05, ,53.28,87.1,4,5,93,23, ,2,0,1
447,0046,1,4,1,2,2,2, , , ,18.27,22.23, ,44.07,65.56,25.19,25, ,55.79,103.59,4,5,93,23, ,2,0,1
472,0051,1,4,2,2,1,1,2, ,.51,17.66,26.95, ,53.17,89.47,24.43,35.89, ,54.95,113.38,1,1,-9,-9,1,1,0,1
476,0051,2,4,2,2,1,1,2, ,.23,25.92,36.51, ,59.68,93.94,33.93,50.27, ,76.98,124.99,1,1,-9,-9,1,1,0,1
513,0053,1,4,1,2,1,1,2, ,.96,43.72,51.68,59.84,82.17,107.93,41.3,44.26,43.92,74.65,130.17,4,1,.15,.15,1,1,1,1
12338,0054,2,4,1,2,1,1,2, ,1.58,18.26,28.12,27.59,62.76,83.56,27.57,29.68,34.05,46.06,73.39, , , , ,1,1,0,1
12341,0054,1,4,1,2,1,1,2, ,.57,34.2,39.27,45.73,68.06,103.87,34.86,45.64,45.01,81.68,124.65, , , , ,1,1,1,1
549,0055,2,4,1,2,1,1,2, , ,37,40,47.5,72.05,108.52,35.25,41.46,47.83,87.11,122.88,4,1,4.73,.95, ,1,1,1
